release_id,domain,dataset,metric,n,score_percent,record_status,artifact,records
llama-3.1-8b,quantitative_reasoning,gsm8k,exact_match_number,500,81.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/gsm8k.jsonl
llama-3.1-8b,quantitative_reasoning,math,exact_match_number,400,64.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/math.jsonl
llama-3.1-8b,quantitative_reasoning,drop,f1,300,40.5,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/drop.jsonl
llama-3.1-8b,symbolic_and_code,folio,accuracy,203,49.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/folio.jsonl
llama-3.1-8b,symbolic_and_code,proofwriter,accuracy,400,64.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/proofwriter.jsonl
llama-3.1-8b,symbolic_and_code,bbh_temporal,accuracy,100,78.0,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/bbh_temporal.jsonl
llama-3.1-8b,symbolic_and_code,humaneval,pass@1,164,59.1,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/humaneval.jsonl
llama-3.1-8b,symbolic_and_code,mbpp,pass@1,250,46.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/mbpp.jsonl
llama-3.1-8b,general_understanding,commonsense_qa,accuracy,400,69.5,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/commonsense_qa.jsonl
llama-3.1-8b,general_understanding,strategyqa,accuracy,400,68.8,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/strategyqa.jsonl
llama-3.1-8b,general_understanding,boolq,accuracy,400,82.2,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/boolq.jsonl
llama-3.1-8b,general_understanding,mmlu,accuracy,500,65.0,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/mmlu.jsonl
llama-3.1-8b,general_understanding,race,accuracy,300,67.0,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/race.jsonl
llama-3.1-8b,long_context_reasoning,hotpotqa,f1,300,24.9,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/hotpotqa.jsonl
llama-3.1-8b,long_context_reasoning,narrativeqa,f1,250,39.0,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/narrativeqa.jsonl
llama-3.1-8b,long_context_reasoning,longbench_multifieldqa,f1,110,34.7,bundled,checkpoints/llama-3.1-8b/controller.pt,results/records/main/llm/llama-3.1-8b/longbench_multifieldqa.jsonl
qwen2.5-14b,quantitative_reasoning,gsm8k,exact_match_number,500,91.8,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,quantitative_reasoning,math,exact_match_number,400,72.2,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,quantitative_reasoning,drop,f1,300,15.1,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,symbolic_and_code,folio,accuracy,203,66.5,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,symbolic_and_code,proofwriter,accuracy,400,87.8,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,symbolic_and_code,bbh_temporal,accuracy,100,91.0,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,symbolic_and_code,humaneval,pass@1,164,75.6,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,symbolic_and_code,mbpp,pass@1,250,62.8,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,general_understanding,commonsense_qa,accuracy,400,80.5,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,general_understanding,strategyqa,accuracy,400,75.0,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,general_understanding,boolq,accuracy,400,86.8,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
